P0, 114,49
P10, 25650,46
P20, 13582,16
P30, 36952,87
P40, 25971,38
P50, 37141,81
P60, 37580,83
P70, 13947,57
P80, 47868,64
P90, 26568,64
P100, 1231,29
P110, 14507,34
P120, 38183,94
P130, 14551,54
P140, 1564,50
P150, 1819,34
P160, 48857,60
P170, 48995,73
P180, 38878,80
P190, 15105,93
P200, 39142,07
P210, 49496,19
P220, 28259,31
P230, 2903,55
P240, 49859,39
P250, 3157,55
P260, 15891,56
P270, 28731,50
P280, 28744,90
P290, 3535,90
P300, 16367,35
P310, 4010,80
P320, 29006,82
P330, 16664,70
P340, 40467,68
P350, 17028,69
P360, 4808,04
P370, 4946,90
P380, 5196,46
P390, 29554,73
P400, 51790,42
P410, 5435,61
P420, 5682,39
P430, 41419,76
P440, 41614,88
P450, 18449,18
P460, 5773,57
P470, 52552,47
P480, 42145,75
P490, 42244,80
P500, 31177,19
P510, 6675,82
P520, 42651,38
P530, 19298,62
P540, 53035,42
P550, 7280,68
P560, 7370,71
P570, 20121,57
P580, 42979,27
P590, 8069,55
P600, 8229,11
P610, 54390,97
P620, 54530,24
P630, 20829,91
P640, 32171,42
P650, 54769,22
P660, 9248,45
P670, 55166,49
P680, 43822,06
P690, 32739,30
P700, 9813,31
P710, 9902,67
P720, 33388,14
P730, 44275,69
P740, 22340,15
P750, 33761,06
P760, 55927,29
P770, 44476,63
P780, 44531,12
P790, 23054,27
P800, 34300,20
P810, 10959,35
P820, 11036,23
P830, 23501,81
P840, 45344,40
P850, 45576,12
P860, 35230,53
P870, 24092,59
P880, 57442,80
P890, 35609,35
P900, 46064,93
P910, 12328,81
P920, 46388,41
P930, 58333,50
P940, 24938,08
P950, 12646,06
P960, 25060,14
P970, 59046,52
P980, 46910,85
P990, 13106,41
