P0, 55748,60
P10, 55821,76
P20, 55849,31
P30, 55892,39
P40, 1023,48
P50, 1271,62
P60, 45713,60
P70, 27862,18
P80, 2104,83
P90, 28242,03
P100, 2605,19
P110, 28560,94
P120, 28672,98
P130, 3354,85
P140, 29014,05
P150, 56322,35
P160, 4169,12
P170, 46879,85
P180, 56415,31
P190, 4969,11
P200, 5246,65
P210, 47207,17
P220, 47248,34
P230, 30695,51
P240, 56577,76
P250, 6465,74
P260, 31189,81
P270, 31349,16
P280, 7212,43
P290, 56727,02
P300, 56784,22
P310, 48256,30
P320, 32247,36
P330, 32421,67
P340, 56932,16
P350, 9096,24
P360, 33021,37
P370, 33224,58
P380, 49105,66
P390, 57132,83
P400, 10473,18
P410, 34067,89
P420, 11000,40
P430, 34389,92
P440, 34524,50
P450, 11740,12
P460, 11967,79
P470, 49962,21
P480, 50101,39
P490, 57483,25
P500, 35629,24
P510, 57570,42
P520, 57612,87
P530, 57677,03
P540, 14114,18
P550, 36390,82
P560, 57773,89
P570, 50935,40
P580, 37033,09
P590, 51233,51
P600, 37404,16
P610, 51465,65
P620, 51652,29
P630, 16604,70
P640, 38225,60
P650, 51916,20
P660, 17366,31
P670, 52064,65
P680, 38940,77
P690, 52322,32
P700, 58317,88
P710, 18751,77
P720, 19039,35
P730, 39883,48
P740, 40081,94
P750, 40261,65
P760, 52991,73
P770, 53064,02
P780, 40726,69
P790, 58595,21
P800, 58654,90
P810, 41348,52
P820, 53783,71
P830, 22062,27
P840, 58892,78
P850, 54092,37
P860, 54178,36
P870, 58978,66
P880, 42640,65
P890, 59126,64
P900, 54631,15
P910, 54858,72
P920, 59300,93
P930, 43715,49
P940, 24939,02
P950, 25182,98
P960, 55257,97
P970, 44431,66
P980, 55507,19
P990, 55612,25
